title,views,likes,comments,channel_id,channel_title,subscriber_count,video_count
Trailer video | sanx data analytics,525,84,14,UCDwA5g4SGtCQSoiPqJFk9PA,Sanx Data,262,5
SPSS | Data Handling 2 | sanx data analytics,379,22,0,UCDwA5g4SGtCQSoiPqJFk9PA,Sanx Data,262,5
SPSS | Data Visualization 1 |  sanx data analytics,319,13,0,UCDwA5g4SGtCQSoiPqJFk9PA,Sanx Data,262,5
SPSS | Data Visualization 2 | sanx data analytics,208,10,0,UCDwA5g4SGtCQSoiPqJFk9PA,Sanx Data,262,5
Prototipo MEDA Fonquito3000,29,3,0,UC63YG9JnC6aOCBVx8l4RsYw,Media Emotion Data Analytics,5,5
Gamificación y mecánica de juegos para la innovación,15,5,0,UC63YG9JnC6aOCBVx8l4RsYw,Media Emotion Data Analytics,5,5
MEDA,11,0,0,UC63YG9JnC6aOCBVx8l4RsYw,Media Emotion Data Analytics,5,5
Cómo potenciar el acceso a las tecnologías para la sociedad en general con MEDA,9,1,0,UC63YG9JnC6aOCBVx8l4RsYw,Media Emotion Data Analytics,5,5
MEDA React the ecosystem from the Maker Lab,5,1,0,UC63YG9JnC6aOCBVx8l4RsYw,Media Emotion Data Analytics,5,5
Testimonial-Team of Megha(2021-2025),864,54,1,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Hinduja(2021 2025),577,51,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonal-Muthuvel(2021-2025),467,57,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
AD  RIT PROMO,433,64,1,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Abarna(2021-2025),402,41,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Football- Indhirajith-shoot with curve,393,60,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Visakan(2021-2025) Visakan 2021 2025,390,51,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Neoteric AI  Inaugural funcion 2022,374,58,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
AD3251 Data Structures Design Expert lecture 2022 06 17 22 30 GMT 7,350,26,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Team of Jerita & Nishanthini  - B.Tech AD (2021-2025),307,38,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Sachin(2021-2025),299,42,1,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Technical Seminar on Exposure to the  Industrial Standards of Web3 0,274,46,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Testimonial-Harsha Vardhini(2021-2025),269,36,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Technical Workshop on AWS,234,37,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Fundamentals of Hadoop- Big Data- R2021 AU course- Dept of AD,237,46,31,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Introduction to Object Oriented Programming,226,52,16,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Minimum Spanning Tree- R 2021- Data Structure,164,17,4,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
HUFFMAN TREES and CODES,156,22,9,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Faculty Development Program on “DATA ANALYTICS AND MACHINE LEARNING”- Day 13 02 2023 Session 1,156,22,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
CNN - Deep Learning R 2021- Faculty Lecture,148,20,9,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
N Queen's Problem using Backtracking Algorithm- Artificial Intelligence- R 2021,135,20,4,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Analytics Society of India inauguration,133,31,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Applications of AI poster Design,126,36,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
SDLC and Secure SDLC- R2021 AU subject Lecture,127,11,1,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Session on React Framework,114,23,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Postgre Installation & Basic commands Nithish II year B Tech AI and DS,102,26,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Industry connect Lecture  AD,96,26,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
DISTRIBUTED MUTUAL EXCLUSION ALGORITHMS- DISTRIBUTED COMPUTING - R 2021,81,17,5,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Neotric AI-Inauguration,80,13,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Faculty Development Program on “DATA ANALYTICS AND MACHINE LEARNING”- Day 16.02.2023,47,5,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
A combined project work on RIT-AD and Histos Tech- Conference presentation-  IOTHIC 2023- Turkey,45,6,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Faculty Development Program on “DATA ANALYTICS AND MACHINE LEARNING”- Day 14.02.2023,43,7,1,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Faculty Development Program on “DATA ANALYTICS AND MACHINE LEARNING”- Day 15.02.2023,35,4,0,UC6yyFx5gzmFDCi9Uo-ibJdg,RIT Artificial Intelligence & Data Science,327,33
Exploring Big Data Technologies: Building on Fundamentals,57,5,0,UCVWm4_J6u3GHy1nHCc8tsyw,Data Analytics with Layla,4,2
Unpacking Big Data: Exploring the Core 3Vs for Beginners,28,4,2,UCVWm4_J6u3GHy1nHCc8tsyw,Data Analytics with Layla,4,2
No1 Debtor Tracing and Consumer Verification Tool,317,1,1,UCixW14_AHldyUx0VaIY8sng,Inspirit Data Analytics Services,3,3
Debtor Tracing Tool for Legal entities,93,3,0,UCixW14_AHldyUx0VaIY8sng,Inspirit Data Analytics Services,3,3
Consumer Verification and Debtor Tracing,87,2,0,UCixW14_AHldyUx0VaIY8sng,Inspirit Data Analytics Services,3,3
